,Median author position
Publications,-0.06927115874026246
Total citations,-0.06074948298086045
Median citations,-0.08865716199459382
h-index,-0.04542640758834645
h-frac-index,-0.17117470985446556
hm-index,-0.18058916997097924
h-leadership-index,0.0008684003336530838
% first author,-0.1670370307700817
% last author,-0.18529879907005442
% single author,-0.09876107656110532
i10-index,-0.08052082691997971
Average number of Authors,0.24821102659060318
Median number of Authors,0.291042912000376
